nombre_convocatoria,url
Convocatoria Océanos Clima y Recursos Marino Costeros,https://minciencias.gov.co/convocatorias/convocatoria-oceanos-clima-y-recursos-marino-costeros
Convocatoria 970 para la conformación de un listado de proyectos IDI que aplican beneficios,https://minciencias.gov.co/convocatorias/convocatoria-970-para-la-conformacion-un-listado-proyectos-idi-que-aplican-beneficios

